DayOfWeek,TotalSteps,Calories,SedentaryMinutes,VeryActiveMinutes
Monday,7118.588235294118,2252.8676470588234,1032.8529411764705,18.955882352941178
Tuesday,4914.917808219178,1742.4246575342465,850.2465753424658,13.150684931506849
Wednesday,7156.978723404255,2342.1063829787236,1010.8936170212766,15.48936170212766
Thursday,6847.083333333333,2297.8125,1055.0625,17.4375
Friday,6511.5,2287.402777777778,1055.7222222222222,15.25
Saturday,6812.986486486487,2251.337837837838,975.7702702702703,17.66216216216216
Sunday,5456.842857142857,2112.057142857143,1013.2857142857143,11.6
